Código;Formato;Descripción;Serie;Familia;ud venta;cod vta 2026;Piezas Por Caja;Piezas Por Metro;Piezas Por Palet;Cajas Por Palet;Metros Por Caja;Metros Por Palet;Kilos Por Caja;Kilos Por Pallet
188634;900900;AMAZONITE 90X90;AMAZONITE;MARBLE;m2;M965;1;1,2346;80;80;0,8099;64,7999;18;1440
188642;6001200;AMAZONITE 60X120;AMAZONITE;MARBLE;m2;M940;2;1,3889;66;33;1,4399;47,5199;29,28;966,24
188643;6001200;AMAZONITE PEARL 60X120;AMAZONITE;MARBLE;m2;M940;2;1,3889;66;33;1,4399;47,5199;29,28;966,24
188646;6001200;AMAZONITE PEARL SATIN 60X120;AMAZONITE;MARBLE;m2;M930;2;1,3889;66;33;1,4399;47,5199;29,28;966,24
188675;75300;FLAT GREY MATT 7.5X30;FLAT;PICCOLA;m2;M874;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188676;75300;FLAT SAND MATT 7.5X30;FLAT;PICCOLA;m2;M874;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188677;75300;FLAT MUSTARD MATT 7.5X30;FLAT;PICCOLA;m2;M874;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188678;75300;FLAT DUSTY PINK MATT 7.5X30;FLAT;PICCOLA;m2;M874;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188679;75300;FLAT ANISE GREEN MATT 7.5X30;FLAT;PICCOLA;m2;M874;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188680;75300;FLAT SKY MATT 7.5X30;FLAT;PICCOLA;m2;M874;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188681;75300;FLAT GARNET MATT 7.5X30;FLAT;PICCOLA;m2;M874;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188682;75300;FLAT FOREST MATT 7.5X30;FLAT;PICCOLA;m2;M874;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188683;75300;FLAT INDIGO MATT 7.5X30;FLAT;PICCOLA;m2;M874;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188684;150170;EXA WHITE 15X17;EXA;PICCOLA;m2;M946;26;51,85;2730;105;0,5014;52,6518;9,13;958,65
188686;150170;EXA BLACK 15X17;EXA;PICCOLA;m2;M946;26;51,85;2730;105;0,5014;52,6518;9,13;958,65
188688;150170;EXA GARNET 15X17;EXA;PICCOLA;m2;M946;26;51,85;2730;105;0,5014;52,6518;9,13;958,65
188696;200200;CANTERBURY 20X20;MINTONS;PICCOLA;m2;M926;14;25;1568;112;0,56;62,72;11,55;1293,6
188704;75300;ALTEA SEDA 7.5X30;ALTEA;PICCOLA;m2;M893;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188705;75300;ALTEA CORAL 7.5X30;ALTEA;PICCOLA;m2;M893;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188706;75300;ALTEA ANIS 7.5X30;ALTEA;PICCOLA;m2;M893;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188707;75300;ALTEA PERLA 7.5X30;ALTEA;PICCOLA;m2;M893;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188708;75300;ALTEA TALCO 7.5X30;ALTEA;PICCOLA;m2;M893;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188709;75300;ALTEA AQUA 7.5X30;ALTEA;PICCOLA;m2;M893;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188710;75300;ALTEA AZULADO 7.5X30;ALTEA;PICCOLA;m2;M893;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188711;75300;ALTEA CELESTE 7.5X30;ALTEA;PICCOLA;m2;M893;22;44,4444;2750;125;0,4949;61,8749;7,92;990
188739;900900;SELENE GREY 90X90;SELENE;MARBLE;m2;M965;1;1,2346;80;80;0,8099;64,7999;18;1440
188768;6001200;SELENE DARK 60X120;SELENE;MARBLE;m2;M940;2;1,3889;66;33;1,4399;47,5199;29,28;966,24
188769;6001200;SELENE CAPPUCCINO 60X120;SELENE;MARBLE;m2;M940;2;1,3889;66;33;1,4399;47,5199;29,28;966,24
188776;12001200;SELENE CAPPUCCINO 120X120;SELENE;MARBLE;m2;M968;1;0,6944;40;40;1,44;57,6;31,3;1252
188777;12001200;SELENE LIGHT 120X120;SELENE;MARBLE;m2;M968;1;0,6944;40;40;1,44;57,6;31,3;1252
188791;6001200;SELENE LIGHT 60X120;SELENE;MARBLE;m2;M940;2;1,3889;66;33;1,4399;47,5199;29,28;966,24
188793;6001200;SELENE GREY 60X120;SELENE;MARBLE;m2;M940;2;1,3889;66;33;1,4399;47,5199;29,28;966,24
188799;900900;PIETRASANTA DARK GREY MATT POLISHED 90X90;PIETRASANTA;CEMENT&STONE;m2;M941;1;1,2346;80;80;0,8099;64,7999;18;1440
188800;900900;PIETRASANTA DARK GREY ANTI-SLIP 90X90;PIETRASANTA;CEMENT&STONE;m2;M930;1;1,2346;80;80;0,8099;64,7999;18;1440
188801;900900;PIETRASANTA LIGHT GREY MATT POLISHED 90X90;PIETRASANTA;CEMENT&STONE;m2;M941;1;1,2346;80;80;0,8099;64,7999;18;1440
188802;900900;PIETRASANTA LIGHT GREY ANTI-SLIP 90X90;PIETRASANTA;CEMENT&STONE;m2;M930;1;1,2346;80;80;0,8099;64,7999;18;1440
188803;900900;PIETRASANTA IVORY MATT POLISHED 90X90;PIETRASANTA;CEMENT&STONE;m2;M941;1;1,2346;80;80;0,8099;64,7999;18;1440
188804;900900;PIETRASANTA IVORY ANTI-SLIP 90X90;PIETRASANTA;CEMENT&STONE;m2;M930;1;1,2346;80;80;0,8099;64,7999;16,8;1344
188805;450900;PIETRASANTA DARK GREY MATT POLISHED 45X90;PIETRASANTA;CEMENT&STONE;m2;M941;2;2,4691;90;45;0,81;36,45;19,5;877,5
188806;450900;PIETRASANTA DARK GREY ANTI-SLIP 45X90;PIETRASANTA;CEMENT&STONE;m2;M930;2;2,4691;90;45;0,81;36,45;19,5;877,5
188807;450900;PIETRASANTA LIGHT GREY MATT POLISHED 45X90;PIETRASANTA;CEMENT&STONE;m2;M941;2;2,4691;90;45;0,81;36,45;19,5;877,5
188808;450900;PIETRASANTA LIGHT GREY ANTI-SLIP 45X90;PIETRASANTA;CEMENT&STONE;m2;M930;2;2,4691;90;45;0,81;36,45;19,5;877,5
188809;450900;PIETRASANTA IVORY MATT POLISHED 45X90;PIETRASANTA;CEMENT&STONE;m2;M941;2;2,4691;90;45;0,81;36,45;19,5;877,5
188810;450900;PIETRASANTA IVORY ANTI-SLIP 45X90;PIETRASANTA;CEMENT&STONE;m2;M930;2;2,4691;90;45;0,81;36,45;19,5;877,5
188824;147147;TAHITI EMERALD ANTI-SLIP 14,7X14,7;TAHITI;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;15,4;1078
188825;147147;TAHITI TURQUOISE ANTI-SLIP 14,7X14,7;TAHITI;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;15,22;1065,4
188826;147147;TAHITI EMERALD GLOSSY 14,7X14,7;TAHITI;PICCOLA;m2;M967;44;46,28;3080;70;0,9507;66,5514;15,4;1078
188827;147147;TAHITI TURQUOISE GLOSSY 14,7X14,7;TAHITI;PICCOLA;m2;M967;44;46,28;3080;70;0,9507;66,5514;15,4;1078
188833;70280;PIETRASANTA DARK GREY 7X28;PIETRASANTA;CEMENT&STONE;m2;M926;26;51,0204;3744;144;0,5096;73,3824;9,62;1385,28
188834;1781532;FORESTA CANELA 17.8X153.2;FORESTA;CLICK&FLOOR;m2;M934;12;3,6671;420;35;3,2723;114,5323;24,24;848,4
188835;1781532;FORESTA NATURAL 17.8X153.2;FORESTA;CLICK&FLOOR;m2;M934;12;3,6671;420;35;3,2723;114,5323;24,24;848,4
188836;1781532;FORESTA CENIZA 17.8X153.2;FORESTA;CLICK&FLOOR;m2;M934;12;3,6671;420;35;3,2723;114,5323;24,24;848,4
188837;2301842;ROBLE ULTRAMATT CAOBA 23X184.2;ROBLE ULTRAMATT;CLICK&FLOOR;m2;M943;6;2,3604;288;48;2,5419;122,014;21,4;1027,2
188838;2301842;ROBLE ULTRAMATT NUEZ 23X184.2;ROBLE ULTRAMATT;CLICK&FLOOR;m2;M943;6;2,3604;288;48;2,5419;122,014;21,4;1027,2
188839;2301842;ROBLE ULTRAMATT VISON 23X184.2;ROBLE ULTRAMATT;CLICK&FLOOR;m2;M943;6;2,3604;288;48;2,5419;122,014;21,4;1027,2
188859;115231;KIT-KAT MOSAIC WATER GLOSSY 11,5X23,1;KIT-KAT;PICCOLA;m2;M970;24;37,6435;2304;96;0,6375;61,2057;10,94;1050,24
188860;115231;KIT-KAT MOSAIC OCEAN GLOSSY 11,5X23,1;KIT-KAT;PICCOLA;m2;M970;24;37,6435;2304;96;0,6375;61,2057;10,94;1050,24
188861;115231;KIT-KAT MOSAIC GRASS GLOSSY 11,5X23,1;KIT-KAT;PICCOLA;m2;M970;24;37,6435;2304;96;0,6375;61,2057;10,94;1050,24
188862;115231;KIT-KAT MOSAIC SNOW GLOSSY 11,5X23,1;KIT-KAT;PICCOLA;m2;M970;24;37,6435;2304;96;0,6375;61,2057;10,94;1050,24
188916;115231;KIT-KAT MOSAIC IVORY GLOSSY 11,5X23,1;KIT-KAT;PICCOLA;m2;M970;24;37,6435;2304;96;0,6375;61,2057;10,94;1050,24
188985;147147;BALI NEGRO ANTI-SLIP 14,7X14,7;BALI;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;15,4;1078
188986;147147;BALI AZUL ANTI-SLIP 14,7X14,7;BALI;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;15,4;1078
188987;147147;BALI VERDE ANTI-SLIP 14,7X14,7;BALI;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;15,4;1078
188991;6001200;ARDESIA MULTICOLORE 60X120;ARDESIA;CEMENT&STONE;m2;M933;2;1,3889;66;33;1,4399;47,5199;30,2;996,6
188992;600600;ARDESIA MULTICOLORE 60X60;ARDESIA;CEMENT&STONE;m2;M895;3;2,7778;120;40;1,0799;43,1999;21;840
188993;300600;ARDESIA MULTICOLORE 30X60;ARDESIA;CEMENT&STONE;m2;M895;6;5,5556;288;48;1,0799;51,8399;21;1008
188994;6001200;ARDESIA CHIARA 60X120;ARDESIA;CEMENT&STONE;m2;M933;2;1,3889;66;33;1,4399;47,5199;30,2;996,6
188995;600600;ARDESIA CHIARA 60X60;ARDESIA;CEMENT&STONE;m2;M895;3;2,7778;120;40;1,0799;43,1999;21;840
188996;300600;ARDESIA CHIARA 30X60;ARDESIA;CEMENT&STONE;m2;M895;6;5,5556;288;48;1,0799;51,8399;21;1008
188997;6001200;PIETRA VIVA BONE 60X120;PIETRA VIVA;CEMENT&STONE;m2;M933;2;1,3889;66;33;1,4399;47,5199;30,2;996,6
188998;6001200;PIETRA VIVA TAUPE 60X120;PIETRA VIVA;CEMENT&STONE;m2;M933;2;1,3889;66;33;1,4399;47,5199;30,2;996,6
188999;6001200;PIETRA VIVA GREY 60X120;PIETRA VIVA;CEMENT&STONE;m2;M933;2;1,3889;66;33;1,4399;47,5199;30,2;996,6
189000;900900;PIETRA VIVA BONE 90X90;PIETRA VIVA;CEMENT&STONE;m2;M933;1;1,2346;80;80;0,8099;64,7999;18,5;1480
189001;900900;PIETRA VIVA TAUPE 90X90;PIETRA VIVA;CEMENT&STONE;m2;M933;1;1,2346;80;80;0,8099;64,7999;18,5;1480
189002;900900;PIETRA VIVA GREY 90X90;PIETRA VIVA;CEMENT&STONE;m2;M933;1;1,2346;80;80;0,8099;64,7999;18,5;1480
189003;2201200;QUERCUS BETULLA 22X120;QUERCUS;CEMENT&STONE;m2;M782;6;3,7879;180;30;1,5839;47,5199;25,8;774
189004;2201200;QUERCUS NATURALE 22X120;QUERCUS;CEMENT&STONE;m2;M782;6;3,7879;180;30;1,5839;47,5199;25,8;774
189005;2201200;QUERCUS MIELE 22X120;QUERCUS;CEMENT&STONE;m2;M782;6;3,7879;180;30;1,5839;47,5199;25,8;774
189006;2201200;QUERCUS ANTICO 22X120;QUERCUS;CEMENT&STONE;m2;M782;6;3,7879;180;30;1,5839;47,5199;25,8;774
189007;2201200;QUERCUS NOCE 22X120;QUERCUS;CEMENT&STONE;m2;M782;6;3,7879;180;30;1,5839;47,5199;25,8;774
189008;12001200;PIETRA VIVA BONE 120X120;PIETRA VIVA;CEMENT&STONE;m2;M939;1;0,6944;40;40;1,44;57,6;32;1280
189009;12001200;PIETRA VIVA TAUPE 120X120;PIETRA VIVA;CEMENT&STONE;m2;M939;1;0,6944;40;40;1,44;57,6;32;1280
189010;12001200;PIETRA VIVA GREY 120X120;PIETRA VIVA;CEMENT&STONE;m2;M939;1;0,6944;40;40;1,44;57,6;32;1280
189020;2301842;ROBLE ULTRAMATT NATURAL 23X184.2;ROBLE ULTRAMATT;CLICK&FLOOR;m2;M943;6;2,3604;288;48;2,5419;122,014;21,4;1027,2
189021;2281524;ROVERE NATURALE 22.8X152.4;ROVERE;CLICK&FLOOR;m2;M943;7;2,8779;364;52;2,4323;126,4798;20,51;1066,52
189022;2281524;ROVERE MIELE 22.8X152.4;ROVERE;CLICK&FLOOR;m2;M943;7;2,8779;364;52;2,4323;126,4798;20,51;1066,52
189023;2281524;ROVERE TOSTATO 22.8X152.4;ROVERE;CLICK&FLOOR;m2;M943;7;2,8779;364;52;2,4323;126,4798;20,51;1066,52
189027;147147;FLORA LAPIS 14,7X14,7;FLORA LAPIS;PICCOLA;m2;M967;44;46,28;3080;70;0,9507;66,5514;17,12;1198,4
189028;147147;ARDESIA MULTICOLORE ANTI-SLIP 14,7X14,7;ARDESIA;CEMENT&STONE;m2;M937;44;46,28;3080;70;0,9507;66,5514;15,4;1078
189029;147147;ARDESIA CHIARA ANTI-SLIP 14,7X14,7;ARDESIA;CEMENT&STONE;m2;M937;44;46,28;3080;70;0,9507;66,5514;15,4;1078
189048;64223;MIJARAN BLANCO 6,4X22,3;MIJARAN;PICCOLA;m2;M950;32;70,0673;4992;156;0,4567;71,2458;8,74;1363,44
189049;64223;MIJARAN AZUL 6,4X22,3;MIJARAN;PICCOLA;m2;M950;32;70,0673;4992;156;0,4567;71,2458;8,74;1363,44
189050;64223;MIJARAN VERDE 6,4X22,3;MIJARAN;PICCOLA;m2;M950;32;70,0673;4992;156;0,4567;71,2458;8,74;1363,44
189051;147147;MIJARAN BLANCO ANTI-SLIP 14,7X14,7;MIJARAN;PICCOLA;m2;M967;44;46,28;3080;70;0,9507;66,5514;17,12;1198,4
189052;147147;MIJARAN AZUL ANTI-SLIP 14,7X14,7;MIJARAN;PICCOLA;m2;M967;44;46,28;3080;70;0,9507;66,5514;17,12;1198,4
189053;147147;MIJARAN VERDE ANTI-SLIP 14,7X14,7;MIJARAN;PICCOLA;m2;M967;44;46,28;3080;70;0,9507;66,5514;17,12;1198,4
189061;64223;GREENLAND FROST GLOSS 6,4X22,3;GREENLAND;PICCOLA;m2;M969;32;70,0673;4992;156;0,4567;71,2458;8,77;1368,12
189062;64223;GREENLAND CLAY GLOSS 6,4X22,3;GREENLAND;PICCOLA;m2;M969;32;70,0673;4992;156;0,4567;71,2458;8,77;1368,12
189063;64223;GREENLAND PEACH GLOSS 6,4X22,3;GREENLAND;PICCOLA;m2;M969;32;70,0673;4992;156;0,4567;71,2458;8,77;1368,12
189064;64223;GREENLAND TEAL GLOSS 6,4X22,3;GREENLAND;PICCOLA;m2;M969;32;70,0673;4992;156;0,4567;71,2458;8,77;1368,12
189065;64223;GREENLAND BOREAL GLOSS 6,4X22,3;GREENLAND;PICCOLA;m2;M969;32;70,0673;4992;156;0,4567;71,2458;8,77;1368,12
189066;64223;GREENLAND COBALT GLOSS 6,4X22,3;GREENLAND;PICCOLA;m2;M969;32;70,0673;4992;156;0,4567;71,2458;8,77;1368,12
189067;64223;GREENLAND FROST MATT 6,4X22,3;GREENLAND;PICCOLA;m2;M963;32;70,0673;4992;156;0,4567;71,2458;8,61;1343,16
189068;64223;GREENLAND CLAY MATT 6,4X22,3;GREENLAND;PICCOLA;m2;M963;32;70,0673;4992;156;0,4567;71,2458;8,61;1343,16
189069;64223;GREENLAND PEACH MATT 6,4X22,3;GREENLAND;PICCOLA;m2;M963;32;70,0673;4992;156;0,4567;71,2458;8,67;1352,52
189070;64223;GREENLAND BOREAL MATT 6,4X22,3;GREENLAND;PICCOLA;m2;M963;32;70,0673;4992;156;0,4567;71,2458;8,67;1352,52
189071;64223;GREENLAND TEAL MATT 6,4X22,3;GREENLAND;PICCOLA;m2;M963;32;70,0673;4992;156;0,4567;71,2458;8,58;1338,48
189072;64223;GREENLAND COBALT MATT 6,4X22,3;GREENLAND;PICCOLA;m2;M963;32;70,0673;4992;156;0,4567;71,2458;8,64;1347,84
189073;147147;GREENLAND FROST ANTI-SLIP 14,7X14,7;GREENLAND;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;17,29;1210,3
189074;147147;GREENLAND CLAY ANTI-SLIP 14,7X14,7;GREENLAND;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;17,29;1210,3
189075;147147;GREENLAND PEACH ANTI-SLIP 14,7X14,7;GREENLAND;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;17,29;1210,3
189076;147147;GREENLAND BOREAL ANTI-SLIP 14,7X14,7;GREENLAND;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;17,29;1210,3
189077;147147;GREENLAND TEAL ANTI-SLIP 14,7X14,7;GREENLAND;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;17,29;1210,3
189078;147147;GREENLAND COBALT ANTI-SLIP 14,7X14,7;GREENLAND;PICCOLA;m2;M937;44;46,28;3080;70;0,9507;66,5514;17,29;1210,3
189085;64223;ICEBERG WHITE 6,4X22,3;ICEBERG;PICCOLA;m2;M950;32;70,0673;4992;156;0,4567;71,2458;8,67;1352,52
189086;64223;ICEBERG BLACK 6,4X22,3;ICEBERG;PICCOLA;m2;M950;32;70,0673;4992;156;0,4567;71,2458;8,67;1352,52
189087;147147;ICEBERG WHITE 14,7X14,7;ICEBERG;PICCOLA;m2;M967;44;46,28;3080;70;0,9507;66,5514;15,4;1078
189088;147147;ICEBERG BLACK 14,7X14,7;ICEBERG;PICCOLA;m2;M967;44;46,28;3080;70;0,9507;66,5514;15,4;1078
189156;200200;ATLANTIQUE BLANC 20X20;ATLANTIQUE;PICCOLA;m2;M921;17;25;1632;96;0,68;65,28;12,95;1243,2
189157;200200;ATLANTIQUE AMANDE 20X20;ATLANTIQUE;PICCOLA;m2;M921;17;25;1632;96;0,68;65,28;12,99;1247,04
189158;200200;ATLANTIQUE OLIVE 20X20;ATLANTIQUE;PICCOLA;m2;M921;17;25;1632;96;0,68;65,28;13,18;1265,28
189159;200200;ATLANTIQUE BLEU 20X20;ATLANTIQUE;PICCOLA;m2;M921;17;25;1632;96;0,68;65,28;13,12;1259,52
189160;200200;BAYONNE 20X20;ATLANTIQUE;PICCOLA;m2;M917;17;25;1632;96;0,68;65,28;12,6;1209,6
189161;200200;JOSSELIN 20X20;ATLANTIQUE;PICCOLA;m2;M917;17;25;1632;96;0,68;65,28;12,55;1204,8
189162;200200;NANTES BLEU 20X20;ATLANTIQUE;PICCOLA;m2;M923;17;25;1632;96;0,68;65,28;12,95;1243,2
189163;200200;MILANO GESSO 20X20;MILANO;PICCOLA;m2;M921;17;25;1632;96;0,68;65,28;13,01;1248,96
189164;200200;EMANUELE 20X20;MILANO;PICCOLA;m2;M923;17;25;1632;96;0,68;65,28;13,11;1258,56
189165;200200;GARIBALDI 20X20;MILANO;PICCOLA;m2;M923;17;25;1632;96;0,68;65,28;13,01;1248,96
189166;200200;GRAZIE 20X20;MILANO;PICCOLA;m2;M923;17;25;1632;96;0,68;65,28;12,99;1247,04
189167;200200;BRERA 20X20;MILANO;PICCOLA;m2;M923;17;25;1632;96;0,68;65,28;12,9;1238,4
189168;200200;CARMINE 20X20;MILANO;PICCOLA;m2;M923;17;25;1632;96;0,68;65,28;13,07;1254,72
189169;200200;DUOMO 20X20;MILANO;PICCOLA;m2;M923;17;25;1632;96;0,68;65,28;12,92;1240,32
189170;69240;MILANO GESSO 6,9X24;MILANO;PICCOLA;m2;M894;45;60,3865;4320;96;0,7451;71,5391;10,62;1019,52
189171;69240;MILANO GRIGIO 6,9X24;MILANO;PICCOLA;m2;M894;45;60,3865;4320;96;0,7451;71,5391;10,49;1007,04
189172;69240;MILANO BLU 6,9X24;MILANO;PICCOLA;m2;M894;45;60,3865;4320;96;0,7451;71,5391;10,62;1019,52
189173;69240;MILANO MENTA 6,9X24;MILANO;PICCOLA;m2;M894;45;60,3865;4320;96;0,7451;71,5391;14,13;1356,48
189174;69240;MILANO BOSCO 6,9X24;MILANO;PICCOLA;m2;M894;45;60,3865;4320;96;0,7451;71,5391;10,53;1010,88
189175;115231;SCALA GESSO 11,5X23,1;MILANO;PICCOLA;m2;M928;24;37,6433;2304;96;0,6375;61,2061;9,62;923,52
189176;115231;SCALA BLU 11,5X23,1;MILANO;PICCOLA;m2;M928;24;37,6433;2304;96;0,6375;61,2061;9,55;916,8
189177;115231;SCALA GRIGIO 11,5X23,1;MILANO;PICCOLA;m2;M928;24;37,6433;2304;96;0,6375;61,2061;9,53;914,88
189178;115231;SCALA MENTA 11,5X23,1;MILANO;PICCOLA;m2;M928;24;37,6433;2304;96;0,6375;61,2061;9,5;912
189179;115231;SCALA BOSCO 11,5X23,1;MILANO;PICCOLA;m2;M928;24;37,6433;2304;96;0,6375;61,2061;9,7;931,2
189180;69240;ATLANTIQUE BLANC 6,9X24;ATLANTIQUE;PICCOLA;m2;M894;45;60,3865;4320;96;0,7451;71,5391;10,71;1028,16
189181;69240;ATLANTIQUE AMANDE 6,9X24;ATLANTIQUE;PICCOLA;m2;M894;45;60,3865;4320;96;0,7451;71,5391;10,85;1041,6
189182;69240;ATLANTIQUE AQUAMARINE 6,9X24;ATLANTIQUE;PICCOLA;m2;M894;45;60,3865;4320;96;0,7451;71,5391;10,85;1041,6
189183;69240;ATLANTIQUE BLEU 6,9X24;ATLANTIQUE;PICCOLA;m2;M894;45;60,3865;4320;96;0,7451;71,5391;10,89;1045,44
